Job_Type,Quantity,Color_Type (BW / Full Color),Material_Type,Requested_Deadline_Date,Order_Request_Date,Current_Queued_Jobs_Count,Active_Machines_Count,Total_Machines_Count,Available_Staff_Count,Total_Staff_Count,Delay_Risk_Level
Business Cards,,Full Color,,2022-09-27,2022-09-25,,3,5,9,10,Medium
Banners,,BW,Glossy Paper,2022-02-27,2022-02-25,160,6,7,11,12,High
Posters,,Full Color,Canvas,2018-09-27,2018-09-25,71,7,9,8,10,Medium
Posters,,Full Color,Vinyl,2018-10-26,2018-10-22,18,6,8,9,10,Low
Banners,,BW,Vinyl,2019-01-22,2019-01-18,199,4,5,9,10,Medium
Banners,,Full Color,Cardboard,2022-01-04,2021-12-31,188,3,4,11,12,High
Stickers,195,,Canvas,2015-02-11,2015-02-04,5,5,6,10,12,High
Business Cards,679,Full Color,,2023-08-25,2023-08-19,19,5,6,12,14,High
Flyers,157,Full Color,Vinyl,2019-05-09,2019-05-05,174,3,5,10,11,Low
,,Full Color,Vinyl,2023-06-05,2023-06-01,92,5,7,11,13,Medium
Stickers,,BW,,2024-06-29,2024-06-23,86,3,5,8,10,Medium
Stickers,657,Full Color,Vinyl,2018-02-09,2018-02-03,150,6,8,9,11,Medium
Brochures,,,Cardboard,2025-09-02,2025-08-29,,4,6,8,9,Low
Flyers,,Full Color,Matte Paper,2016-12-08,2016-12-03,18,5,7,10,11,Medium
Posters,,Full Color,Glossy Paper,2022-08-11,2022-08-09,26,4,6,10,11,Medium
Flyers,,Full Color,Glossy Paper,2015-06-15,2015-06-11,17,5,6,9,11,Low
Flyers,,Full Color,Glossy Paper,2020-06-06,2020-06-04,91,5,7,8,10,Low
,,Full Color,Canvas,2021-05-10,2021-05-06,103,4,5,10,12,Low
Brochures,533,,Canvas,2017-04-02,2017-03-26,127,7,8,9,11,Medium
Flyers,828,Full Color,,2016-04-07,2016-03-31,27,6,7,10,12,Medium
Brochures,,BW,Vinyl,2025-06-01,2025-05-26,31,6,8,8,10,High
Business Cards,401,Full Color,Canvas,2017-10-17,2017-10-13,126,6,8,10,12,Medium
Business Cards,349,BW,Canvas,2021-06-07,2021-06-01,192,5,6,10,12,Medium
Business Cards,,Full Color,Canvas,2022-08-04,2022-07-30,197,6,8,10,11,
Flyers,613,BW,,2015-12-09,2015-12-04,41,3,5,9,10,Medium
Business Cards,,BW,Matte Paper,2017-12-19,2017-12-12,119,4,5,9,11,Low
Business Cards,537,Full Color,Matte Paper,2021-03-16,2021-03-14,109,3,4,11,13,Low
Business Cards,577,BW,Cardboard,2021-02-17,2021-02-13,72,4,6,10,12,Medium
Stickers,,Full Color,,2016-05-11,2016-05-07,,4,5,10,12,Medium
Business Cards,,Full Color,,2018-03-27,2018-03-26,153,4,5,10,12,Medium
Stickers,533,Full Color,Glossy Paper,2025-08-27,2025-08-20,47,6,7,8,9,High
Flyers,501,Full Color,Cardboard,2025-10-04,2025-10-03,120,4,6,11,12,Low
Business Cards,,BW,Glossy Paper,2022-01-19,2022-01-12,156,4,6,11,12,High
Banners,,Full Color,Matte Paper,2020-07-21,2020-07-20,154,5,6,10,12,Medium
Brochures,,BW,Cardboard,2018-03-15,2018-03-08,169,3,4,11,13,Medium
Flyers,,BW,Canvas,2022-03-28,2022-03-25,89,6,8,9,11,Low
Flyers,66,BW,Canvas,2016-02-26,2016-02-23,199,3,5,10,12,Low
,528,Full Color,Vinyl,2016-01-15,2016-01-14,39,7,9,12,14,Medium
Stickers,535,Full Color,Matte Paper,2024-10-06,2024-10-01,142,6,8,9,10,Medium
Brochures,387,Full Color,Canvas,2023-05-31,2023-05-24,51,4,6,8,10,Low
Banners,,Full Color,Vinyl,2023-06-28,2023-06-27,181,3,5,10,11,Medium
Business Cards,,Full Color,Canvas,2015-07-27,2015-07-20,125,6,7,8,10,High
Business Cards,200,Full Color,Canvas,2023-03-01,2023-02-25,58,5,6,11,12,Medium
Posters,,BW,Vinyl,2023-07-18,2023-07-17,,5,6,8,9,Low
Business Cards,,BW,Glossy Paper,2021-09-27,2021-09-20,23,6,8,10,12,Low
Business Cards,,Full Color,Cardboard,2019-10-24,2019-10-18,132,3,4,9,10,High
Stickers,691,BW,Vinyl,2020-11-21,2020-11-16,102,4,5,9,11,High
Flyers,,Full Color,,2020-03-14,2020-03-10,128,3,4,11,12,Medium
Brochures,,BW,Canvas,2019-04-26,2019-04-20,148,6,7,10,11,Low
Banners,,Full Color,Canvas,2025-06-08,2025-06-07,52,5,6,9,11,Medium
Posters,,BW,Vinyl,2026-01-02,2025-12-28,57,4,5,9,10,Medium
,,Full Color,Glossy Paper,2022-05-20,2022-05-14,13,3,4,10,11,Medium
Flyers,,BW,Vinyl,2017-10-26,2017-10-25,141,4,6,11,12,Low
Brochures,811,BW,Matte Paper,2016-05-19,2016-05-17,67,4,5,10,11,Medium
,,Full Color,Cardboard,2016-02-09,2016-02-02,,5,6,10,12,Medium
Brochures,785,Full Color,Matte Paper,2022-10-20,2022-10-13,130,5,7,9,11,Medium
Flyers,389,Full Color,Matte Paper,2015-07-27,2015-07-26,88,6,7,11,12,Medium
Business Cards,754,Full Color,Vinyl,2020-03-03,2020-02-25,16,5,7,10,12,Low
Brochures,602,BW,Vinyl,2023-01-20,2023-01-18,40,3,4,10,12,Medium
Banners,,Full Color,Matte Paper,2025-04-25,2025-04-20,111,5,7,10,12,
Flyers,910,BW,Canvas,2017-05-20,2017-05-13,110,6,7,10,12,Medium
Brochures,340,Full Color,Vinyl,2024-02-02,2024-01-26,3,5,6,11,13,Medium
Stickers,,,Matte Paper,2017-10-21,2017-10-17,33,6,7,10,11,Low
Brochures,679,,Matte Paper,2019-10-28,2019-10-24,127,5,6,11,13,Medium
Business Cards,524,Full Color,Glossy Paper,2024-07-15,2024-07-10,,5,6,10,11,Low
Brochures,,Full Color,Matte Paper,2022-09-04,2022-08-28,38,5,7,10,11,High
Banners,,BW,Vinyl,2023-11-24,2023-11-17,112,3,4,11,12,Low
Brochures,883,Full Color,Vinyl,2017-11-30,2017-11-25,104,3,5,9,11,Medium
Flyers,406,BW,Matte Paper,2018-04-03,2018-03-29,128,3,4,10,12,Low
Banners,,Full Color,Vinyl,2019-09-26,2019-09-19,176,5,6,10,11,Medium
Brochures,980,Full Color,Glossy Paper,2023-08-27,2023-08-24,85,4,5,11,12,Medium
Brochures,,BW,Vinyl,2022-03-14,2022-03-10,175,5,7,8,9,Low
Flyers,,Full Color,Matte Paper,2022-02-19,2022-02-17,84,6,8,9,10,Low
Flyers,,BW,Canvas,2026-01-13,2026-01-07,128,4,6,9,10,High
Stickers,137,Full Color,,2022-05-22,2022-05-17,3,5,7,9,11,Medium
Banners,,BW,Canvas,2017-11-21,2017-11-17,90,6,8,9,11,
Banners,,Full Color,Glossy Paper,2024-12-10,2024-12-06,43,4,5,10,11,Medium
Flyers,,Full Color,Cardboard,2025-08-09,2025-08-05,162,3,4,11,13,Medium
Stickers,,Full Color,Glossy Paper,2018-09-22,2018-09-16,195,4,6,10,11,High
Flyers,53,Full Color,Glossy Paper,2020-08-02,2020-07-31,37,4,6,9,10,Medium
Business Cards,76,Full Color,Glossy Paper,2019-02-09,2019-02-05,90,6,7,11,13,Medium
Brochures,121,BW,Matte Paper,2021-02-22,2021-02-15,65,6,7,10,12,Low
Business Cards,626,BW,,2018-11-10,2018-11-09,42,5,7,9,11,High
Flyers,,Full Color,Vinyl,2018-07-31,2018-07-30,40,6,8,9,10,Low
Posters,223,BW,Glossy Paper,2022-05-10,2022-05-04,102,6,7,11,13,Medium
Brochures,,Full Color,Cardboard,2017-09-03,2017-08-30,21,4,6,10,12,
Brochures,,,Glossy Paper,2018-07-07,2018-07-06,7,6,7,10,11,Medium
Stickers,,,Cardboard,2016-12-17,2016-12-10,116,5,7,8,10,High
Posters,,Full Color,Glossy Paper,2016-10-13,2016-10-10,68,6,8,11,12,Medium
Business Cards,,Full Color,Matte Paper,2025-04-12,2025-04-06,184,6,7,9,10,Medium
Flyers,,Full Color,Vinyl,2025-08-27,2025-08-26,190,4,5,11,12,High
Stickers,504,BW,Cardboard,2016-11-16,2016-11-14,,3,5,10,12,Medium
Business Cards,687,Full Color,Cardboard,2025-09-10,2025-09-03,119,4,5,9,10,
Business Cards,538,BW,Cardboard,2025-04-07,2025-04-01,149,5,7,9,10,Low
Flyers,930,Full Color,Canvas,2025-04-22,2025-04-21,178,6,8,8,9,Medium
,484,BW,Canvas,2020-01-29,2020-01-28,32,6,7,9,11,Medium
Flyers,,BW,Matte Paper,2021-10-26,2021-10-25,101,3,4,9,11,High
Business Cards,273,Full Color,Glossy Paper,2018-07-19,2018-07-15,43,5,6,10,11,Low
Stickers,,BW,Matte Paper,2025-08-20,2025-08-14,69,5,7,10,11,
,,Full Color,Glossy Paper,2024-06-22,2024-06-20,52,4,5,10,12,Low
Stickers,,BW,Glossy Paper,2019-06-26,2019-06-25,2,3,4,10,11,Low
Brochures,259,BW,Matte Paper,2023-03-20,2023-03-19,77,4,5,11,12,Medium
Flyers,,BW,Cardboard,2016-11-30,2016-11-29,94,6,8,11,13,Low
Flyers,,BW,Cardboard,2015-01-03,2015-01-02,43,4,5,9,11,Medium
Posters,,Full Color,Glossy Paper,2021-03-19,2021-03-17,124,5,6,10,11,Medium
Brochures,378,Full Color,Cardboard,2017-05-10,2017-05-04,138,5,6,8,9,Medium
,245,Full Color,,2019-10-31,2019-10-26,52,4,5,8,9,Low
,297,BW,Vinyl,2021-08-30,2021-08-29,23,7,9,10,11,Low
,,BW,Matte Paper,2019-07-23,2019-07-20,83,7,9,10,11,High
Stickers,785,BW,Glossy Paper,2017-12-14,2017-12-12,196,4,6,11,12,Medium
Business Cards,498,Full Color,Matte Paper,2022-08-13,2022-08-09,148,5,7,10,12,High
,663,Full Color,,2018-12-16,2018-12-10,,4,5,8,9,Medium
Stickers,926,Full Color,Glossy Paper,2017-04-22,2017-04-15,51,4,6,11,12,High
Business Cards,410,Full Color,Canvas,2015-07-29,2015-07-22,46,3,4,8,10,Low
Posters,,Full Color,Canvas,2016-02-08,2016-02-05,94,5,7,9,11,Medium
Brochures,116,BW,,2015-10-28,2015-10-21,25,5,6,9,10,Low
Brochures,192,Full Color,Matte Paper,2023-01-15,2023-01-10,125,3,4,12,13,Medium
Business Cards,,Full Color,Cardboard,2015-07-19,2015-07-17,55,4,5,10,12,Low
Brochures,,BW,Cardboard,2020-04-20,2020-04-14,70,6,8,10,11,Medium
Flyers,,Full Color,Vinyl,2022-09-07,2022-08-31,128,4,6,11,13,Medium
,152,BW,Vinyl,2023-12-18,2023-12-17,124,3,5,10,11,Medium
Business Cards,631,Full Color,Vinyl,2015-07-10,2015-07-06,141,5,6,11,13,High
Flyers,,BW,Cardboard,2021-11-22,2021-11-16,186,7,9,10,12,
Stickers,622,Full Color,Matte Paper,2019-12-05,2019-11-30,,4,5,12,14,Medium
Brochures,,BW,Matte Paper,2022-09-16,2022-09-12,51,5,7,11,12,Medium
Stickers,726,BW,Canvas,2020-05-12,2020-05-09,169,6,8,10,12,Low
Business Cards,,Full Color,Matte Paper,2018-10-04,2018-10-01,158,4,6,9,10,Medium
Banners,,Full Color,Vinyl,2019-03-18,2019-03-15,49,5,7,11,12,Medium
Stickers,962,Full Color,Vinyl,2023-10-28,2023-10-25,190,4,6,10,12,Low
Banners,,Full Color,Cardboard,2020-01-25,2020-01-18,177,5,6,10,11,Medium
,151,BW,Cardboard,2023-02-25,2023-02-24,,5,7,11,13,Medium
Posters,,BW,,2021-07-20,2021-07-13,9,5,7,10,12,Low
Brochures,454,Full Color,Vinyl,2019-12-09,2019-12-08,194,3,5,9,11,High
,,BW,Cardboard,2026-01-11,2026-01-07,122,6,7,9,11,Medium
Business Cards,,Full Color,Vinyl,2020-05-24,2020-05-23,53,4,6,10,11,Medium
Business Cards,729,BW,Matte Paper,2018-12-16,2018-12-09,144,4,6,8,9,Low
Flyers,797,Full Color,Matte Paper,2024-03-29,2024-03-23,4,3,4,10,11,Medium
Posters,,Full Color,Matte Paper,2015-09-23,2015-09-20,156,5,7,11,13,Low
Banners,,Full Color,Vinyl,2021-01-04,2020-12-31,71,5,6,9,10,Low
Brochures,,BW,,2016-09-17,2016-09-15,162,3,4,8,9,Medium
Flyers,,BW,Canvas,2024-12-23,2024-12-22,43,5,7,11,13,Medium
Flyers,,,Vinyl,2020-08-12,2020-08-11,,4,5,10,12,
Business Cards,,Full Color,Glossy Paper,2018-08-21,2018-08-20,55,5,7,9,11,High
Stickers,342,Full Color,Glossy Paper,2025-03-18,2025-03-12,5,4,5,11,12,Medium
Stickers,,,Canvas,2023-07-11,2023-07-06,102,5,7,10,12,
Brochures,77,Full Color,Canvas,2023-05-24,2023-05-21,164,4,5,9,10,Medium
Flyers,315,BW,Canvas,2024-01-19,2024-01-18,174,6,7,9,11,Medium
Brochures,,Full Color,,2019-08-13,2019-08-10,188,3,4,9,11,Low
Flyers,860,Full Color,Vinyl,2016-02-11,2016-02-08,160,4,6,11,12,Medium
Business Cards,660,,Matte Paper,2023-10-03,2023-09-27,117,3,4,10,11,Medium
Flyers,252,BW,Canvas,2025-12-06,2025-12-05,144,6,8,10,11,Medium
Business Cards,451,Full Color,Vinyl,2016-08-13,2016-08-09,38,6,8,11,13,Medium
Stickers,,Full Color,Matte Paper,2026-01-23,2026-01-22,16,4,5,8,9,
Posters,228,BW,Canvas,2018-12-20,2018-12-16,181,5,7,8,9,Medium
Flyers,,BW,,2015-09-15,2015-09-11,153,6,8,9,11,Low
Posters,,Full Color,Canvas,2023-09-22,2023-09-19,172,5,6,8,9,Medium
Business Cards,,,Matte Paper,2019-02-11,2019-02-05,,5,7,10,12,Medium
Stickers,,BW,Vinyl,2021-01-12,2021-01-09,181,4,6,10,12,Medium
Posters,,BW,Vinyl,2023-02-14,2023-02-09,99,3,4,9,11,High
Business Cards,456,,Glossy Paper,2015-12-10,2015-12-04,,6,7,8,9,Medium
Stickers,115,Full Color,Matte Paper,2022-11-11,2022-11-09,198,6,7,8,9,Medium
Stickers,277,BW,Cardboard,2025-05-22,2025-05-19,12,5,6,12,14,Medium
Brochures,563,Full Color,Canvas,2019-09-06,2019-09-01,28,4,6,10,11,High
Brochures,,BW,Vinyl,2015-06-14,2015-06-10,125,4,6,10,12,High
Brochures,,Full Color,Matte Paper,2022-10-23,2022-10-19,81,5,7,9,11,Medium
Brochures,,Full Color,Glossy Paper,2018-07-30,2018-07-24,167,6,7,10,12,Medium
Stickers,264,BW,Cardboard,2019-03-12,2019-03-08,197,6,8,8,10,Low
Flyers,398,Full Color,Vinyl,2018-05-10,2018-05-03,,6,7,12,13,High
Flyers,52,BW,Matte Paper,2016-10-02,2016-10-01,153,5,7,11,13,Medium
Flyers,,Full Color,Matte Paper,2022-06-29,2022-06-28,157,3,4,10,11,High
Business Cards,898,,Glossy Paper,2017-08-16,2017-08-12,1,4,6,10,12,Medium
Stickers,255,Full Color,Canvas,2016-04-17,2016-04-14,48,6,8,10,12,
Business Cards,570,BW,Glossy Paper,2017-11-18,2017-11-11,8,5,6,9,11,Medium
Flyers,,Full Color,Glossy Paper,2019-08-27,2019-08-21,37,3,5,9,11,Low
Brochures,,BW,Glossy Paper,2021-04-02,2021-03-27,12,3,5,10,12,Medium
Business Cards,,Full Color,Canvas,2016-07-21,2016-07-16,30,5,7,8,10,Low
,,,Vinyl,2019-12-11,2019-12-05,135,3,5,8,9,Medium
Brochures,,BW,Glossy Paper,2020-09-08,2020-09-05,,4,5,10,11,Medium
Stickers,,BW,Canvas,2024-03-04,2024-03-02,141,5,7,11,12,
Business Cards,771,BW,Vinyl,2025-02-03,2025-01-28,177,5,6,11,12,Low
Brochures,973,Full Color,Cardboard,2023-01-09,2023-01-05,98,5,6,8,9,High
Brochures,885,BW,Glossy Paper,2016-03-29,2016-03-28,169,4,5,8,10,Medium
Stickers,,Full Color,,2025-09-09,2025-09-05,22,5,7,10,11,Low
Banners,171,Full Color,Glossy Paper,2024-10-30,2024-10-27,139,4,5,11,12,
Business Cards,,Full Color,Canvas,2018-05-03,2018-04-30,188,4,5,12,14,Medium
Flyers,214,BW,Vinyl,2024-10-24,2024-10-23,161,5,6,11,13,
Brochures,832,Full Color,,2023-11-19,2023-11-18,28,5,7,10,12,High
Flyers,190,BW,Canvas,2021-01-18,2021-01-14,142,6,8,9,11,High
Flyers,769,BW,Cardboard,2017-12-10,2017-12-05,10,5,6,8,9,Medium
Stickers,60,Full Color,Matte Paper,2022-01-14,2022-01-09,2,5,6,8,9,Medium
,,Full Color,Vinyl,2025-11-10,2025-11-07,38,3,5,10,11,Medium
Brochures,,Full Color,Canvas,2017-11-27,2017-11-26,,4,5,8,9,High
Flyers,,BW,Vinyl,2021-12-24,2021-12-19,92,4,6,10,12,Medium
Business Cards,123,BW,Canvas,2015-07-06,2015-06-30,143,4,5,10,11,Medium
Flyers,300,BW,Cardboard,2023-09-13,2023-09-06,49,7,9,8,10,Low
Flyers,712,Full Color,Matte Paper,2017-09-23,2017-09-19,66,4,6,11,12,Medium
Business Cards,,Full Color,Matte Paper,2015-07-14,2015-07-10,39,6,8,10,12,Low
Stickers,718,Full Color,Glossy Paper,2017-09-12,2017-09-07,22,5,6,11,13,
Posters,210,Full Color,Glossy Paper,2018-04-06,2018-03-30,49,6,7,11,12,Low
Posters,67,Full Color,Vinyl,2015-05-11,2015-05-08,186,5,7,9,10,High
Brochures,,BW,Vinyl,2019-12-24,2019-12-22,149,5,7,9,10,Low
Business Cards,,BW,Canvas,2019-10-27,2019-10-25,145,5,6,8,10,Low
Business Cards,965,,Matte Paper,2016-07-29,2016-07-23,133,4,6,11,12,
Brochures,475,BW,Matte Paper,2020-03-13,2020-03-10,79,5,6,10,12,
Stickers,218,Full Color,Glossy Paper,2025-08-05,2025-07-30,115,4,6,11,12,High
,,BW,Canvas,2024-03-15,2024-03-13,,3,5,9,10,High
Flyers,727,BW,Cardboard,2022-12-18,2022-12-11,81,5,6,10,12,Low
Flyers,263,Full Color,Cardboard,2023-04-05,2023-03-29,,4,5,12,13,High
Stickers,,Full Color,Canvas,2015-06-11,2015-06-04,81,6,8,10,11,Medium
Posters,,Full Color,Vinyl,2018-11-12,2018-11-10,64,7,8,8,9,High
Posters,,Full Color,Glossy Paper,2017-02-25,2017-02-23,,6,8,10,11,
Stickers,,BW,Glossy Paper,2024-06-27,2024-06-26,79,4,5,9,10,High
Business Cards,927,BW,Cardboard,2015-09-06,2015-09-03,129,3,5,8,10,Medium
Banners,,BW,Matte Paper,2019-02-16,2019-02-09,159,6,7,9,11,Low
Brochures,,Full Color,Glossy Paper,2022-09-09,2022-09-07,78,5,6,9,10,Medium
Business Cards,817,Full Color,Glossy Paper,2020-03-07,2020-03-05,43,7,9,11,12,Medium
Flyers,794,BW,Cardboard,2017-07-11,2017-07-09,19,7,9,9,11,Medium
,336,BW,Vinyl,2022-11-20,2022-11-15,94,6,8,10,12,High
Business Cards,53,Full Color,Canvas,2023-01-31,2023-01-29,106,4,6,8,10,Medium
Brochures,461,BW,Glossy Paper,2015-02-06,2015-02-05,129,4,6,8,10,Low
Stickers,,Full Color,Glossy Paper,2015-01-25,2015-01-20,12,6,8,8,9,
Brochures,202,BW,Cardboard,2025-07-15,2025-07-14,,4,5,9,11,Medium
Banners,,BW,Glossy Paper,2016-02-10,2016-02-04,26,4,6,9,11,Medium
,,Full Color,Canvas,2017-09-04,2017-08-29,44,5,7,10,11,Low
Posters,216,Full Color,,2021-11-26,2021-11-23,166,6,8,12,13,
Flyers,,Full Color,Cardboard,2018-01-27,2018-01-20,0,5,7,9,10,Medium
Flyers,949,BW,Glossy Paper,2017-04-15,2017-04-13,71,5,6,8,9,Low
Brochures,409,BW,Cardboard,2020-06-12,2020-06-05,192,3,5,9,11,Medium
Brochures,780,Full Color,Matte Paper,2015-02-26,2015-02-20,179,5,7,11,13,Medium
Brochures,928,BW,Vinyl,2025-04-28,2025-04-27,65,7,8,10,12,Medium
Banners,,BW,,2023-12-13,2023-12-06,0,3,4,11,13,
Banners,,Full Color,Canvas,2021-01-11,2021-01-06,140,5,7,8,10,Medium
Flyers,,Full Color,Matte Paper,2022-03-04,2022-03-02,126,6,7,8,9,Medium
Posters,,Full Color,Cardboard,2021-06-16,2021-06-10,32,5,7,8,9,Low
Banners,273,Full Color,Canvas,2016-11-16,2016-11-12,192,5,6,11,13,Medium
Posters,,Full Color,Cardboard,2025-07-27,2025-07-21,122,5,6,9,11,Medium
Stickers,,Full Color,Cardboard,2023-05-15,2023-05-09,82,4,5,10,12,Low
,,BW,Glossy Paper,2022-04-18,2022-04-14,133,4,5,10,11,Medium
Flyers,,Full Color,Canvas,2021-05-01,2021-04-30,132,6,7,10,12,High
Brochures,621,Full Color,Matte Paper,2019-05-20,2019-05-15,145,6,8,9,11,
Stickers,,Full Color,Cardboard,2025-02-12,2025-02-08,84,6,8,10,12,High
Flyers,,BW,Cardboard,2018-02-05,2018-01-31,102,6,7,8,9,High
Brochures,,Full Color,,2017-02-16,2017-02-12,62,5,6,12,13,
Posters,122,BW,Canvas,2017-09-23,2017-09-18,173,5,6,8,10,High
Flyers,227,BW,Vinyl,2024-05-18,2024-05-14,5,6,8,8,10,Medium
Brochures,326,BW,Cardboard,2022-12-31,2022-12-24,147,5,7,9,10,Medium
Business Cards,,Full Color,Vinyl,2023-03-10,2023-03-03,91,5,7,11,12,Low
Stickers,,BW,Cardboard,2022-05-31,2022-05-27,50,6,7,9,10,High
Business Cards,735,BW,Matte Paper,2016-01-10,2016-01-05,176,6,8,10,11,Low
,,Full Color,Matte Paper,2018-02-07,2018-02-03,122,4,5,8,10,Low
Flyers,,BW,Matte Paper,2019-08-16,2019-08-10,188,4,5,8,9,
Stickers,695,,Matte Paper,2015-05-01,2015-04-30,144,3,4,10,11,Medium
Flyers,,BW,Cardboard,2019-12-23,2019-12-16,51,5,6,9,10,High
Stickers,918,Full Color,Matte Paper,2017-12-21,2017-12-17,23,3,5,10,11,High
Flyers,,Full Color,Canvas,2018-10-08,2018-10-01,3,5,7,11,12,High
Flyers,,Full Color,Canvas,2024-09-20,2024-09-15,,5,6,11,13,Medium
Banners,193,Full Color,Vinyl,2020-02-02,2020-01-28,86,4,5,8,10,Low
Business Cards,,Full Color,Canvas,2018-03-03,2018-02-24,73,5,6,10,11,Medium
,749,,Canvas,2020-04-16,2020-04-15,109,3,4,11,13,Low
Stickers,320,BW,Glossy Paper,2019-07-28,2019-07-23,48,3,4,11,12,Low
,,BW,Cardboard,2016-09-27,2016-09-25,38,6,7,8,10,Medium
Business Cards,,BW,,2025-06-20,2025-06-19,149,4,6,10,12,Medium
Banners,,Full Color,Canvas,2018-01-26,2018-01-24,88,3,5,11,13,Medium
Posters,,Full Color,Cardboard,2018-02-21,2018-02-15,54,5,7,10,12,Medium
Stickers,,BW,Cardboard,2016-05-03,2016-05-02,9,6,7,11,13,Low
Business Cards,857,BW,Glossy Paper,2025-11-05,2025-10-31,160,4,6,10,11,High
Stickers,,Full Color,Matte Paper,2024-02-27,2024-02-26,108,5,7,8,9,Medium
Business Cards,,BW,Canvas,2016-12-09,2016-12-04,160,3,5,8,10,High
Banners,,Full Color,Matte Paper,2016-08-10,2016-08-03,23,3,5,8,10,
Flyers,365,,Cardboard,2022-12-24,2022-12-18,127,5,7,9,11,High
Business Cards,580,BW,Matte Paper,2026-01-24,2026-01-17,62,5,6,11,12,Medium
Stickers,777,Full Color,Canvas,2015-06-07,2015-06-03,41,5,6,10,12,Low
Banners,293,BW,Cardboard,2017-09-26,2017-09-23,199,5,6,10,12,High
Flyers,,,Cardboard,2022-07-13,2022-07-07,26,7,9,10,11,Medium
Business Cards,,Full Color,Glossy Paper,2018-06-02,2018-05-28,134,5,6,9,10,
Posters,,Full Color,Glossy Paper,2023-07-21,2023-07-16,45,4,6,9,10,Medium
Brochures,412,,Matte Paper,2020-11-12,2020-11-11,39,6,7,11,12,Low
,925,Full Color,Vinyl,2017-08-21,2017-08-15,31,4,6,10,11,
Banners,,Full Color,Canvas,2016-04-01,2016-03-28,,5,7,10,12,Low
,,BW,Canvas,2023-02-11,2023-02-07,151,3,4,12,13,Medium
,,BW,Cardboard,2021-11-28,2021-11-26,,3,4,9,10,Medium
Brochures,,Full Color,Matte Paper,2016-07-09,2016-07-04,36,7,9,11,12,Medium
Stickers,,BW,Canvas,2018-08-09,2018-08-05,22,6,8,11,12,Medium
Business Cards,149,Full Color,Canvas,2019-10-30,2019-10-24,107,5,6,9,11,Medium
Brochures,,Full Color,Vinyl,2020-09-06,2020-09-01,148,5,6,8,10,Medium
Brochures,,BW,Glossy Paper,2022-01-15,2022-01-13,,4,6,12,14,Medium
Brochures,,BW,Matte Paper,2025-09-19,2025-09-13,167,4,5,10,11,Medium
